产品网址：http://en.tiandy.com/index.php?s=/Home/Product/detail/id/295.html#
产品结构：root->TiandyTechnologies

|产品名称|产品型号|功能描述|
|----|----|----|
|NVR|Pro|H.265 4HDD 40ch PSE NVR，支持多达 40 路 IP 摄像机输入，访问/转发带宽为 400Mbps/400Mbps，支持 S+265、H.265、S+264、H.264 视频格式，具有 16MP（30fps）×2、12MP（30fps）×3、8MP（30fps）×4、6MP（30fps）×4、5MP（30fps）×6、4MP（30fps）×8、3MP（30fps）×9、1080P（30fps）×16 预览解码能力，16 路同步回放，16MP（30fps）×2、12MP（30fps）×3、8MP（30fps）×4、6MP（30fps）×4、5MP（30fps）×6、4MP（30fps）×8、3MP（30fps）×9、1080P（30fps）×16 回放解码能力，每个 HDD 容量高达 10TB，独立 HDMI 和 VGA 输出，HDMI 输出高达 4K 分辨率，1×RJ-45，10/100/1000 Mbps 自适应以太网端口，PoE 接口，16×RJ45，10/100 Mbps 自适应以太网端口，S+265 压缩有效减少存储空间高达 75%，支持云升级|

Video and Audio,Unnamed: 1
Access Channel,40
Incoming Bandwidth,400Mbps
Outgoing Bandwidth,400Mbps
Resolution,16MP/12MP/8MP/6MP/5MP/4MP/3MP/1080P/UXGA/720P/VGA/4CIF/DCIF/2CIF/CIF/QCIF
Preview Decoding Capability,"16MP(30fps)×2, 12MP(30fps)×3, 8MP(30fps)×4, 6MP(30fps)×4, 5MP(30fps)×6, 4MP(30fps)×8, 3MP(30fps)×9, 1080P(30fps)×16, 720P(30fps)×32, 4CIF(30fps)×40"
Third-party Camera Access,ONVIF; RTSP
HDMI Output,"HDMI:800×600(60Hz), 1024×768(60Hz), 1280×720(50Hz/60Hz), 1280×800(60Hz), 1366×768(60Hz), 1440×900(60Hz), 1920×1080(50Hz/60Hz), 2560×1440(30Hz/60Hz), 2560×1600(60Hz), (4K)3840×2160(30Hz/60Hz)"
Liveview display,Independent Output: HDMI: 1/2/3/4/5/6/7/8/9/10/12/13/16/20A/20B/25/32/36/40 VGA: 1/2/3/4/5/6/7/8/9/10/12/13/16/20A/20B/25/32/36/40
VGA Output,"VGA:800×600(60Hz), 1024×768(60Hz), 1280×720(50Hz/60Hz), 1280×800(60Hz), 1366×768(60Hz), 1440×900(60Hz), 1920×1080(50Hz/60Hz)"
Multi-screen Display,1/2/3/4/5/6/7/8/9/10/12/13/16/20A/20B/25/32/36/40
Audio Input,"1-ch, 3.5mm"
Audio Output,"1-ch, RCA (Linear, 1 KΩ)"
Two-Way Audio,"1-ch, 3.5mm, using the audio input"
Compression,
Video,S+265; H.265; S+264; H.264
Audio,G711A; G711U; AAC; ADPCM_DIV4
Stream Type,Video; Video & Audio
Network,
Network Protocol,"ARP; DDNS; DHCP; DNS; Easy DDNS; FTP; HTTP; HTTPS; ICMP; IGMP; IPv4; IPv6; Multicast; NFS; NTP; PPPoE; RTCP; RTP; RTSP; SMB/CIFS; SMTP; SNMP; SRTP; SSH; SSL; TLSv1.2, TLSv1.3; TCP/IP; UDP; Unicast; UPnP"
Mobile Phone Access,Android; iOS; P2P_A
System Compatibility,ONVIF(profile T/S/G); RTSP; CGI; SDK
Web,IE10+; Firefox52+; Edge89+; Safari11+; Chrome57+
Record Playback,
Multi-channel Playback,16
Record Mode,Manual recording; Alarm recording; Schedule recording
Storage Method,Local HDD
Backup,"USB storage device, Network"
Playback Function,Play/Pause/Stop/Slow/Speed/Backwards 30s/Forwards 30s/Full screen/backup (video Editing)/Step/Digital Zoom
Dual Stream Record,Dual Stream Record
Alarm,
General Alarm,Motion; Mask Alarm; Alarm Input(IPC); Video Loss; Alarm Input(NVR); Manual Alarm
Exceptions Alarm,IP Conflict; MAC Conflict; Network Disconnected; No disk; Illegal Access; Disk group space alert; Disk Full; Disk R/W error; Video Abnormal; Abnormal found in smart of disk; Abnormal temperature of the disk; Array Exception; PoE overloaded; IPC voltage abnormal; RTC failure
Intelligent Analytics,
